Identification,SupportedLanguages,AtmServices,Accessibility,Currency,Note,OtherAccessibility,OtherATMServices,LocationCategory,OtherLocationCategory,AddressLine,TownName,CountrySubDivision,Country,PostCode,Latitude,Longitude
11944612684838,,,,GBP,,,,,,(SOUTHERN END) PALACE OF WESTMINSTER SW1A 0PW;PALACE OF WESTMINSTER;LONDON;SW1A 0PW,PALACE OF WESTMINSTER,LONDON,UK,SW1A 0PW,051.49978600,-000.12464300
11144688545552,,,,GBP,,,,,,16 MARKET SQUARE GLOUCESTERSHIRE GL13 9BD;GLOUCESTERSHIRE;GLOUCESTERSHIRE;GL13 9BD,GLOUCESTERSHIRE,GLOUCESTERSHIRE,UK,GL13 9BD,051.69147500,-002.45866500
1125464724171,,,,GBP,,,,,,167 ST. JAMES ROAD NORTHAMPTON NN5 5LE;NORTHAMPTON;NORTHAMPTONSHIRE;NN5 5LE,NORTHAMPTON,NORTHAMPTONSHIRE,UK,NN5 5LE,052.23947300,-000.91419600
11214639633241,,,,GBP,,,,,,235 235 BEXLEY ROAD NORTHUMBERLAND HEATH DA8 3XX;NORTHUMBERLAND HEATH;KENT;DA8 3XX,NORTHUMBERLAND HEATH,KENT,UK,DA8 3XX,052.47808200,-002.11167700
11174611088608,,,,GBP,,,,,,290 WALWORTH ROAD LONDON SE17 2TE;LONDON;LONDON;SE17 2TE,LONDON,LONDON,UK,SE17 2TE,051.48681700,-000.09556100
11334683168406,,,,GBP,,,,,,85 HIGH ROAD LONDON N2 8AE;LONDON;LONDON;N2 8AE,LONDON,LONDON,UK,N2 8AE,051.59036300,-000.16465800
11924686091194,,,,GBP,,,,,,92 QUEENS ROAD LEICESTER LE2 1SY;LEICESTER;LEICESTERSHIRE;LE2 1SY,LEICESTER,LEICESTERSHIRE,UK,LE2 1SY,052.61708200,-001.11669200
11274639538686,,,,GBP,,,,,,95 HIGH STREET LONDON W3 6QX;LONDON;LONDON;W3 6QX,LONDON,LONDON,UK,W3 6QX,051.50684600,-000.26857100
11944666724918,,,,GBP,,,,,,1 ABBEY ROAD LONDON NW10 7RB;LONDON;LONDON;NW10 7RB,LONDON,LONDON,UK,NW10 7RB,051.52961300,-000.26963900
11944641147861,,,,GBP,,,,,,9 HIGH STREET ABERGAVENNY NP7 5SA;ABERGAVENNY;GWENT;NP7 5SA,ABERGAVENNY,GWENT,UK,NP7 5SA,051.82243800,-003.01892400
1154627437157,,,,GBP,,,,,,2 ABERGELE ROAD COLWYN BAY LL29 7WY;COLWYN BAY;GWYNEDD;LL29 7WY,COLWYN BAY,GWYNEDD,UK,LL29 7WY,053.29486000,-003.72760500
